Group Starts,Sum - Volume (Lynden/Aldergrove North Trucks),Sum - Volume (Lynden/Aldergrove South Trucks),Sum - Volume (Pacific Highway North Trucks),Sum - Volume (Pacific Highway South Trucks),Sum - Volume (Sumas/Huntingdon North Trucks)
2018-04-27 00:00:00,187.0,229.0,1271.0,1764.0,447.0
2018-04-28 00:00:00,59.0,65.0,699.0,1191.0,118.0
2018-04-29 00:00:00,44.0,47.0,563.0,1211.0,88.0
2018-04-30 00:00:00,202.0,188.0,1033.0,1862.0,437.0
2018-05-01 00:00:00,200.0,197.0,1238.0,1905.0,448.0
2018-05-02 00:00:00,211.0,203.0,1369.0,1927.0,481.0
2018-05-03 00:00:00,211.0,242.0,1254.0,1663.0,466.0
2018-05-04 00:00:00,204.0,225.0,1214.0,1647.0,462.0
2018-05-05 00:00:00,68.0,69.0,770.0,1349.0,105.0
2018-05-06 00:00:00,47.0,80.0,507.0,1287.0,64.0
2018-05-07 00:00:00,181.0,208.0,1165.0,1699.0,436.0
2018-05-08 00:00:00,193.0,162.0,1130.0,1130.0,455.0
2018-05-09 00:00:00,191.0,198.0,1326.0,1566.0,436.0
2018-05-10 00:00:00,216.0,233.0,1261.0,1755.0,463.0
2018-05-11 00:00:00,204.0,231.0,1176.0,1713.0,449.0
2018-05-12 00:00:00,62.0,62.0,787.0,1322.0,92.0
2018-05-13 00:00:00,29.0,62.0,522.0,1274.0,69.0
2018-05-14 00:00:00,201.0,199.0,1083.0,1801.0,429.0
2018-05-15 00:00:00,169.0,187.0,1163.0,1899.0,396.0
2018-05-16 00:00:00,199.0,222.0,1329.0,2012.0,463.0
2018-05-17 00:00:00,216.0,325.0,1232.0,1950.0,492.0
2018-05-18 00:00:00,173.0,342.0,1293.0,1958.0,455.0
2018-05-19 00:00:00,52.0,76.0,722.0,1290.0,135.0
2018-05-20 00:00:00,38.0,99.0,476.0,1206.0,78.0
2018-05-21 00:00:00,167.0,117.0,857.0,1403.0,290.0
2018-05-22 00:00:00,170.0,222.0,1190.0,1866.0,442.0
2018-05-23 00:00:00,202.0,202.0,1340.0,1847.0,488.0
2018-05-24 00:00:00,194.0,211.0,1299.0,1877.0,471.0
2018-05-25 00:00:00,193.0,198.0,1232.0,1801.0,472.0
